actorID,actorName
annie_potts,Annie Potts
bill_farmer,Bill Farmer
don_rickles,Don Rickles
erik_von_detten,Erik von Detten
greg-berg,Greg Berg
jack_angel,Jack Angel
jan_rabson,Jan Rabson
jim_varney,Jim Varney
joan_cusack,Joan Cusack
joe-ranft,Joe Ranft
john_morris,John Morris
john_ratzenberger,John Ratzenberger
kendall_cunningham,Kendall Cunningham
laurie_metcalf,Laurie Metcalf
patrick_pinney,Patrick Pinney
penn_jillette,Penn Jillette
philip_proctor,Philip Proctor
r_lee_ermey,R. Lee Ermey
sarah_freeman,Sarah Freeman
scott_mcafee,Scott McAfee
sherry_lynn,Sherry Lynn
tim_allen,Tim Allen
tom_hanks,Tom Hanks
wallace_shawn,Wallace Shawn
1135379-peter_bryant,Peter Bryant
adam_hannbyrd,Adam Hann-Byrd
bebe_neuwirth,Bebe Neuwirth
bonnie_hunt,Bonnie Hunt
bradley_pierce,Bradley Pierce
darryl_henriques,Darryl Henriques
david_alan_grier,David Alan Grier
david_hyde_pierce,David Hyde Pierce
gillian_barber,Gillian Barber
james_handy,James Handy
jonathan_hyde,Jonathan Hyde
kirsten_dunst,Kirsten Dunst
laura_bell_bundy,Laura Bell Bundy
lloyd_berry,Lloyd Berry
malcolm_stewart,Malcolm Stewart
patricia_clarkson,Patricia Clarkson
robin_driscoll,Robin Driscoll
robin_williams,Robin Williams
annmargret,Ann-Margret
buck_henry,Buck Henry
buffy_sedlachek,Buffy Sedlachek
burgess_meredith,Burgess Meredith
christopher_mcdonald,Christopher McDonald
daryl_hannah,Daryl Hannah
isabell_oconnor,Isabell Monk
jack_lemmon,Jack Lemmon
joe_howard,Joe Howard
john_carroll_lynch,John Carroll Lynch
kevin_pollak,Kevin Pollak
ollie_osterberg,Ollie Osterberg
ossie_davis,Ossie Davis
sharon_howard_field,Sharon Howard-Field
steve_cochran,Steve Cochran
walter_matthau,Walter Matthau
1026174-leon,Leon
angela_bassett,Angela Bassett
brandon-hammond,Brandon Hammond
dennis_haysbert,Dennis Haysbert
donald_faison,Donald Faison
ezra_swerdlow,Ezra Swerdlow
giancarlo_esposito,Giancarlo Esposito
graham_galloway,Graham Galloway
gregory_hines,Gregory Hines
jeffrey_d_sams,Jeffrey D. Sams
lamont_johnson,Lamont Johnson
lela_rochon,Lela Rochon
loretta_devine,Loretta Devine
michael_beach,Michael Beach
mykelti_williamson,Mykelti Williamson
starletta_dupois,Starletta DuPois
wendell_pierce,Wendell Pierce
wesley_snipes,Wesley Snipes
whitney_houston,Whitney Houston
wren_t_brown,Wren T. Brown
ann-walker,Ann Walker
annie_meyers_shyer,Annie Meyers-Shyer
april_ortiz,April Ortiz
bd_wong,B.D. Wong
caroline_lagerfelt,Caroline Lagerfelt
diane_keaton,Diane Keaton
eugene_levy,Eugene Levy
george_newbern,George Newbern
hallie_meyersshyer,Hallie Meyers-Shyer
