directorID,directorName
john_lasseter,John Lasseter
joe_johnston,Joe Johnston
donald_petrie,Donald Petrie
forest_whitaker,Forest Whitaker
charles_shyer,Charles Shyer
michael_mann,Michael Mann
billy_wilder,Billy Wilder
1052316-peter_hewitt,Peter Hewitt
peter_hyams,Peter Hyams
martin_campbell,Martin Campbell
rob_reiner,Rob Reiner
mel_brooks,Mel Brooks
simon_wells,Simon Wells
oliver_stone,Oliver Stone
renny_harlin,Renny Harlin
martin_scorsese,Martin Scorsese
ang_lee,Ang Lee
alexandre_rockwell,Alexandre Rockwell
steve_oedekerk,Steve Oedekerk
joseph_ruben,Joseph Ruben
barry_sonnenfeld,Barry Sonnenfeld
jon_amiel,Jon Amiel
1165744-james_mcteigue,James McTeigue
victor_salva,Victor Salva
mike_figgis,Mike Figgis
oliver_parker,Oliver Parker
lesli_linka_glatter,Lesli Linka Glatter
roger_michell,Roger Michell
jeanpierre_jeunet,Jean-Pierre Jeunet
zhang_yimou,Yimou Zhang
john_n_smith,John N. Smith
siddharth_randeria,Siddharth Randeria
jeanjacques_annaud,Jean-Jacques Annaud
chris_noonan,Chris Noonan
christopher_hampton,Christopher Hampton
tim_robbins,Tim Robbins
stephan_low,Stephan Low
andy_tennant,Andy Tennant
andras-solyom,Andras Solyom
darrell_roodt,Darrell Roodt
richard_loncraine,Richard Loncraine
albert_hughes,Albert Hughes
michael_hoffman,Michael Hoffman
paul_anderson,Paul W.S. Anderson
len_wiseman,Len Wiseman
jocelyn_moorhouse,Jocelyn Moorhouse
akira_kurosawa,Akira Kurosawa
mike-gabriel,Mike Gabriel
patricia_rozema,Patricia Rozema
bryan_singer,Bryan Singer
woody_allen,Woody Allen
gianni_amelio,Gianni Amelio
holly_goldberg_sloan,Holly Goldberg Sloan
garry_marshall,Garry Marshall
robert_tinnell,Robert Tinnell
jodie_foster,Jodie Foster
michael_radford,Michael Radford
robert_lepage,Robert Lepage
frank_oz,Frank Oz
sara_botsford,Sara Botsford
stephen_herek,Stephen Herek
paris-barclay,Paris Barclay
bill_bennett,Bill Bennett
jason_bloom,Jason Bloom
farhad_mann,Farhad Mann
james_foley,James Foley
josiane_balasko,Josiane Balasko
marek_koterski,Marek Koterski
robert_rodriguez,Robert Rodriguez
andrew_sipes,Andrew Sipes
jesse_dylan,Jesse Dylan
bille_august,Bille August
michael_goldenberg,Michael Goldenberg
steve_miner,Steve Miner
christian_duguay,Christian Duguay
susanne_ofteringer,Susanne Ofteringer
sean_penn,Sean Penn
brian_gibson,Brian Gibson
jafar_panahi,Jafar Panahi
gary_fleder,Gary Fleder
marleen_gorris,Marleen Gorris
1146513-tim_reid,Tim Reid
henry_jaglom,Henry Jaglom
philip_haas,Philip Haas
director-ridley-scott,Director Ridley Scott
ken_kwapis,Ken Kwapis
1178642-jonathan_king,Jonathan King
john_badham,John Badham
john_duigan,John Duigan
stephen_frears,Stephen Frears
wes_craven,Wes Craven
ted_demme,Ted Demme
john_woo,John Woo
kenneth_branagh,Kenneth Branagh
mathieu_kassovitz,Mathieu Kassovitz
nick_broomfield,Nick Broomfield
harold_becker,Harold Becker
wes_anderson,Wes Anderson
1040953-nick_castle,Nick Castle
john_dahl,John Dahl
dennis_dugan,Dennis Dugan
clint_eastwood,Clint Eastwood
doris_doerrie,Doris Dörrie
brian_henson,Brian Henson
mel_gibson,Mel Gibson
stanley_tong,Stanley Tong
barbet_schroeder,Barbet Schroeder
mort_ransen,Mort Ransen
etienne_chatiliez,Étienne Chatiliez
john_blair,John Blair
benjamin-ross,Benjamin Ross
eric_schaeffer,Eric Schaeffer
1022918-andrew_davis,Andrew Davis
charles_t_kanganis,Charles T. Kanganis
reginald_hudlin,Reginald Hudlin
karwai-wong,Kar Wai Wong
guiseppe_tornatore,Giuseppe Tornatore
david_o_russell,David O. Russell
peter_macdonald,Peter MacDonald
michel_negroponte,Michel Negroponte
bryan_gordon,Bryan Gordon
1042742-alan_parker,Alan Parker
michael_lindsayhogg,Michael Lindsay-Hogg
craig_baldwin,Craig Baldwin
david_s_ward,David S. Ward
1045365-mark_rappaport,Mark Rappaport
barry_levinson,Barry Levinson
jon_avnet,Jon Avnet
mike_nichols,Mike Nichols
_0781341,Jakov Sedlar
edward_burns,Edward Burns
michael_bay,Michael Bay
christopher_cain,Christopher Cain
scott-kalvert,Scott Kalvert
mike_newell,Mike Newell
michael_traeger,Michael Traeger
ron_howard,Ron Howard
michael_catonjones,Michael Caton-Jones
joel_schumacher,Joel Schumacher
luis_bunuel,Luis Buñuel
john_boorman,John Boorman
paul_auster,Paul Auster
1055159-michael_moore,Michael Moore
brad_silberling,Brad Silberling
spike_lee,Spike Lee
frank_marshall,Frank Marshall
tony_scott,Tony Scott
terry_zwigoff,Terry Zwigoff
carl_franklin,Carl Franklin
john_mctiernan,John McTiernan
gregg_araki,Gregg Araki
christopher_menaul,Christopher Menaul
jerry_zucker,Jerry Zucker
dwight_h_little,Dwight H. Little
iain_softley,Iain Softley
christopher-ashley,Christopher Ashley
robert_longo,Robert Longo
danny_cannon,Danny Cannon
john_fortenberry,John Fortenberry
1176587-larry_clark,Larry Clark
tom_dicillo,Tom DiCillo
clive_barker,Clive Barker
denys_arcand,Denys Arcand
jill_goldman,Jill Goldman
1030366-kevin_smith,Kevin Smith
bryan_spicer,Bryan Spicer
david_anspaugh,David Anspaugh
anthony_waller,Anthony Waller
rodney_gibbons,Rodney Gibbons
irwin_winkler,Irwin Winkler
chris_columbus,Chris Columbus
daisy_von_scherler_mayer,Daisy von Scherler Mayer
gregory_widen,Gregory Widen
max-ophuls,Max Ophüls
sidney_lumet,Sidney Lumet
roland_joffe,Roland Joffé
paul_verhoeven,Paul Verhoeven
wayne_wang,Wayne Wang
162659443,Lasse Hallström
roger_donaldson,Roger Donaldson
james_keach,James Keach
kathryn_bigelow,Kathryn Bigelow
jacques_demy,Jacques Demy
wesley_strick,Wesley Strick
martha_coolidge,Martha Coolidge
agnieszka_holland,Agnieszka Holland
beeban_kidron,Beeban Kidron
geoff_murphy,Geoff Murphy
diane_keaton,Diane Keaton
douglas-keeve,Douglas Keeve
alfonso_arau,Alfonso Arau
kevin_reynolds,Kevin Reynolds
desmond_nakano,Desmond Nakano
walter_hill,Walter Hill
anthony_asquith,Anthony Asquith
greg_beeman,Greg Beeman
nikita_mikhalkov,Nikita Mikhalkov
milcho_manchevski,Milcho Manchevski
richard_linklater,Richard Linklater
tamra_davis,Tamra Davis
1013435-david_ross,David Ross
herbert_ross,Herbert Ross
peter_horton,Peter Horton
stuart_gordon,Stuart Gordon
pat_oconnor,Pat O'Connor
jeremy_leven,Jeremy Leven
francis_ford_coppola,Francis Ford Coppola
jack_baran,Jack Baran
roman_polanski,Roman Polanski
taylor_hackford,Taylor Hackford
peter_farrelly,Peter Farrelly
atom_egoyan,Atom Egoyan
tim_burton,Tim Burton
lawrence_kasdan,Lawrence Kasdan
billy_crystal,Billy Crystal
phillip_borsos,Phillip Borsos
kevin_lima,Kevin Lima
brett_leonard,Brett Leonard
carlo_carlei,Carlo Carlei
gerard_corbiau,Gérard Corbiau
mike_hodges,Mike Hodges
art_clokey,Art Clokey
charles_burnett,Charles Burnett
1053511-steve_james,Steve James
peter_jackson,Peter Jackson
randall_miller,Randall Miller
bernard_rose,Bernard Rose
steven_brill,Steven Brill
william_friedkin,William Friedkin
fred_schepisi,Fred Schepisi
neil_jordan,Neil Jordan
james_ivory,James Ivory
james_melkonian,James Melkonian
ivan_reitman,Ivan Reitman
arne_glimcher,Arne Glimcher
michael_gottlieb,Michael Gottlieb
george_lucas,George Lucas
gillian_armstrong,Gillian Armstrong
alfonso_cuaron,Alfonso Cuarón
ken_loach,Ken Loach
claude_chabrol,Claude Chabrol
edward_zwick,Edward Zwick
james_gray,James Gray
allison_anders,Allison Anders
glenn_gordon_caron,Glenn Gordon Caron
stephen_gyllenhaal,Stephen Gyllenhaal
nicholas_hytner,Nicholas Hytner
james_whale,James Whale
nora_ephron,Nora Ephron
richard_benjamin,Richard Benjamin
george_seaton,George Seaton
david_frankel,David Frankel
gregory_nava,Gregory Nava
marc_rocco,Marc Rocco
evelyn_purcell,Evelyn Purcell
michael_apted,Michael Apted
1196862-nick_gomez,Nick Gomez
toru_murakawa,Toru Murakawa
vadim_jean,Vadim Jean
albert_pyun,Albert Pyun
1046415-alan_jacobs,Alan Jacobs
norman_jewison,Norman Jewison
lee_tamahori,Lee Tamahori
anne_goursaud,Anne Goursaud
wolfgang_petersen,Wolfgang Petersen
luc_besson,Luc Besson
mira_nair,Mira Nair
joshua_brand,Joshua Brand
quentin_tarantino,Quentin Tarantino
harald_zwart,Harald Zwart
antonia_bird,Antonia Bird
robert_redford,Robert Redford
kayo-hatta,Kayo Hatta
patrice_chereau,Patrice Chéreau
sam_raimi,Sam Raimi
peter_yates,Peter Yates
robert_altman,Robert Altman
krzysztof_kieslowski,Krzysztof Kieslowski
ping_he,Ping He
fred_gerber,Fred Gerber
harold_ramis,Harold Ramis
richard_rich,Richard Rich
john_sayles,John Sayles
luis_llosa,Luis Llosa
roland_emmerich,Roland Emmerich
jeannot_szwarc,Jeannot Szwarc
frank_darabont,Frank Darabont
danny_boyle,Danny Boyle
scott_mcgehee,Scott McGehee
tomas_gutierrez_alea,Tomás Gutiérrez Alea
george_huang,George Huang
geoff_burton,Geoff Burton
kelly_makin,Kelly Makin
rachel_talalay,Rachel Talalay
ernest_r_dickerson,Ernest R. Dickerson
david_carson,David Carson
rusty_cundieff,Rusty Cundieff
brian_gilbert,Brian Gilbert
1040928-john_carpenter,John Carpenter
peter_segal,Peter Segal
louis_malle,Louis Malle
steven_soderbergh,Steven Soderbergh
hank_milestone,Umberto Lenzi
jon_turteltaub,Jon Turteltaub
david_kim,David Kim
mina_shum,Mina Shum
pj_hogan,P.J. Hogan
melanie_mayron,Melanie Mayron
tom_shadyac,Tom Shadyac
stephan_elliott,Stephan Elliott
phillip_noyce,Phillip Noyce
jessie_nelson,Jessie Nelson
alex_proyas,Alex Proyas
ron_shelton,Ron Shelton
brian_levant,Brian Levant
robert_zemeckis,Robert Zemeckis
john_singleton,John Singleton
darnell_martin,Darnell Martin
andrew_bergman,Andrew Bergman
wolfgang_reitherman,Wolfgang Reitherman
ray-muller,Ray Muller
rob_minkoff,Rob Minkoff
bernardo_bertolucci,Bernardo Bertolucci
chuck_russell,Chuck Russell
richard_donner,Richard Donner
alan_rudolph,Alan Rudolph
aaron_matthews,Aaron Matthews
ben_stiller,Ben Stiller
robert_allan_ackerman,Robert Allan Ackerman
curtis_hanson,Curtis Hanson
jan_de_bont,Jan de Bont
ron_underwood,Ron Underwood
james_cameron,James Cameron
luis_mandoki,Luis Mandoki
suri_krishnamma,Suri Krishnamma
jefery_levy,Jefery Levy
keenen_ivory_wayans,Keenen Ivory Wayans
yves-angelo,Yves Angelo
russ_meyer,Russ Meyer
doug_mchenry,Doug McHenry
dave_borthwick,Dave Borthwick
steven_e_de_souza,Steven E. de Souza
richard_brooks_i,Richard Brooks I
francoise_kohler,Francoise Kohler
paul_warner,Paul Warner
theodore_thomas,Theodore Thomas
edward_dmytryk,Edward Dmytryk
roger_allers,Roger Allers
jack-baxter,Jack Baxter
_0602452,Andrew Morahan
michael_corrente,Michael Corrente
john_g_avildsen,John G. Avildsen
jeff_pollack,Jeff Pollack
michael_lehmann,Michael Lehmann
paul_michael_glaser,Paul Michael Glaser
jonathan_kaplan,Jonathan Kaplan
penelope_spheeris,Penelope Spheeris
john_landis,John Landis
darren_doane,Darren Doane
stephen_hopkins,Stephen Hopkins
tony_richardson,Tony Richardson
don_siegel,Don Siegel
jennifer-lynch,Jennifer Chambers Lynch
robert_de_niro,Robert De Niro
adam_resnick,Adam Resnick
nigel-cole,Nigel Cole
brian_de_palma,Brian DePalma
paul_weiland,Paul Weiland
mick_jackson,Mick Jackson
steve_barron,Steve Barron
richard_rush,Richard Rush
michael_ritchie,Michael Ritchie
gregg_champion,Gregg Champion
marco_brambilla,Marco Brambilla
bruce_brown,Bruce Brown
gus_van_sant,Gus Van Sant
carl_reiner,Carl Reiner
kaige_chen,Kaige Chen
kuk_kwok_leung,Kuk Kwok Leung
alek-keshishian,Alek Keshishian
steve_kloves,Steve Kloves
john_irvin,John Irvin
sydney_pollack,Sydney Pollack
simon_wincer,Simon Wincer
boaz_yakin,Boaz Yakin
david_twohy,David Twohy
howard_deutch,Howard Deutch
lawrence_l_simeone,Lawrence L. Simeone
bruce_beresford,Bruce Beresford
jim_abrahams,Jim Abrahams
julianna_lavin,Julianna Lavin
christopher_monger,Christopher Monger
eric-meza,Eric Meza
joel_coen,Joel Coen
james_l_brooks,James L. Brooks
daniel-petrie-jr,Daniel Petrie Jr
jim_sheridan,Jim Sheridan
