1,Toy story,1995,100,81,USA
2,Jumanji,1995,46,61,USA
3,Grumpy Old Men,1993,66,66,USA
4,Waiting to Exhale,1995,56,79,USA
5,Father of the Bride Part II,1995,47,64,USA
6,Heat,1995,86,92,USA
7,Sabrina,1954,90,87,USA
8,Tom and Huck,1995,25,45,USA
9,Sudden Death,1995,53,40,USA
10,GoldenEye,1995,80,78,UK
11,The American President,1995,89,71,USA
12,Dracula: Dead and Loving It,1995,8,52,USA
13,Balto,1995,50,66,USA
14,Nixon,1995,75,72,USA
15,Cutthroat Island,1995,45,42,USA
16,Casino,1995,81,91,USA
17,Sense and Sensibility,1995,97,88,USA
18,Four Rooms,1995,14,72,USA
19,Ace Ventura: When Nature Calls,1995,36,73,USA
20,Money Train,1995,16,38,USA
21,Get Shorty,1995,85,63,USA
22,Copycat,1995,75,58,USA
23,Ninja Assassin,2009,25,58,USA
24,Powder,1995,47,67,USA
25,Leaving Las Vegas,1995,88,82,France
26,Othello,1995,68,66,USA
27,Now and Then,1995,18,78,USA
28,Persuasion,1995,82,82,UK
29,La cité des enfants perdus,1995,81,89,France
30,Yao a yao yao dao waipo qiao,1995,85,70,France
31,Dangerous Minds,1995,29,66,USA
32,Twelve Monkeys,1995,0,0,USA
33,Wings of Courage,1995,50,0,USA
34,Babe,1995,98,54,Australia
35,Carrington,1995,47,68,UK
36,Dead Man Walking,1995,94,81,UK
37,Across the Sea of Time,1995,50,27,USA
38,It Takes Two,1995,8,63,USA
39,Clueless,1995,0,0,USA
40,Richard III,1995,95,82,UK
41,Dead Presidents,1995,45,75,USA
42,Restoration,1995,67,56,USA
43,Mortal Kombat,1995,34,55,USA
44,Live Free or Die Hard,2007,81,86,USA
45,How to Make an American Quilt,1995,50,58,USA
46,Shichinin no samurai,1954,100,97,Japan
47,Pocahontas,1995,55,63,USA
48,When Night Is Falling,1995,50,83,Canada
49,The Usual Suspects,1995,87,95,USA
50,Mighty Aphrodite,1995,75,69,USA
51,Lamerica,1994,90,82,Italy
52,The Big Green,1995,0,47,USA
53,Georgia Rule,2007,17,55,USA
54,Kids of the Round Table,1997,0,0,USA
55,Home for the Holidays,1995,63,69,USA
56,Il postino,1994,92,92,Italy
57,Le confessionnal,1995,100,0,Canada
58,The Indian in the Cupboard,1995,68,41,USA
59,Eye for an Eye,1996,0,0,USA
60,Mr. Holland's Opus,1995,73,79,USA
61,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,29,0,USA
62,Two If by Sea,1996,11,29,USA
63,Bio-Dome,1996,4,51,USA
64,Lawnmower Man 2: Beyond Cyberspace,1996,11,18,USA
65,Two Bits,1995,40,54,USA
66,Gazon maudit,1995,50,58,France
67,Friday,1995,0,0,USA
68,From Dusk Till Dawn,1996,62,75,USA
69,Fair Game,1995,12,16,USA
70,Kicking & Screaming,2005,41,51,USA
71,Les misérables,1998,75,81,UK
72,Bed of Roses,1996,21,66,USA
73,Big Bully,1996,0,23,USA
74,Screamers,1995,30,45,Canada
75,Nico Icon,1995,84,85,Germany
76,The Crossing Guard,1995,74,56,USA
77,The Juror,1996,15,39,USA
78,Badkonake sefid,1995,80,86,Iran
79,Things to Do in Denver When You're Dead,1995,33,72,USA
80,Antonia,1995,64,90,Netherlands
81,Once Upon a Time... When We Were Colored,1995,71,76,USA
82,Last Summer in the Hamptons,1995,60,47,USA
83,Angels and Insects,1995,70,62,USA
84,White Squall,1996,63,62,USA
85,Dunston Checks In,1996,6,39,USA
86,Black Sheep,2006,70,54,New Zealand
87,Nick of Time,1995,28,54,USA
88,The Journey of August King,1995,57,54,USA
89,Mary Reilly,1996,26,41,USA
90,Vampire in Brooklyn,1995,10,37,USA
91,Beautiful Girls,1996,78,79,USA
92,Broken Arrow,1996,55,51,USA
93,In the Bleak Midwinter,1995,89,88,UK
94,La haine,1995,100,95,France
95,Going Shopping,2005,41,37,USA
96,Heidi Fleiss: Hollywood Madam,1995,71,46,UK
97,City Hall,1996,54,42,USA
98,Bottle Rocket,1996,78,80,USA
99,Mr. Wrong,1996,3,29,USA
100,Unforgettable,1996,23,36,USA
101,Happy Gilmore,1996,58,83,USA
102,The Bridges of Madison County,1995,90,83,USA
103,Keiner liebt mich,1994,66,89,Germany
104,Muppet Treasure Island,1996,68,68,USA
105,Braveheart,1995,77,83,USA
106,Taxi Driver,1976,98,93,USA
107,Hung fan kui,1995,78,62,Hong Kong
108,Before and After,1996,31,39,USA
109,Margaret's Museum,1995,66,76,Canada
110,Le bonheur est dans le pré,1995,0,0,France
111,Anne Frank Remembered,1995,96,79,UK
112,The Young Poisoner's Handbook,1995,84,79,UK
113,If Lucy Fell,1996,19,49,USA
114,Steal Big Steal Little,1995,15,36,USA
115,Race the Sun,1996,22,40,USA
116,The Boys of St. Vincent,1992,100,77,Canada
117,Boomerang,1992,37,55,USA
118,Chung Hing sam lam,1994,96,93,Hong Kong
119,L'uomo delle stelle,1995,75,73,Italy
120,Flirting with Disaster,1996,85,65,USA
121,The Neverending Story III,1994,33,0,Germany
122,Jupiter's Wife,1995,75,0,USA
123,Pie in the Sky,1996,50,0,USA
124,Angela's Ashes,1999,52,79,USA
125,Frankie Starlight,1995,66,61,France
126,The Curse of the Jade Scorpion,2001,45,52,USA
127,Sonic Outlaws,1995,66,0,USA
128,Down Periscope,1996,12,60,USA
129,From the Journals of Jean Seberg,1995,100,75,USA
130,Man of the Year,2006,21,51,USA
131,Hard Target,1993,48,0,USA
132,Up Close & Personal,1996,32,63,USA
133,The Birdcage,1996,75,75,USA
134,The Brothers McMullen,1995,91,55,USA
135,Bad Boys,1995,39,79,USA
136,The Amazing Panda Adventure,1995,22,46,USA
137,The Basketball Diaries,1995,42,77,USA
138,An Awfully Big Adventure,1995,36,55,UK
139,The Moguls,2005,16,46,USA
140,Apollo 13,1995,96,78,USA
141,Rob Roy,1995,71,73,USA
142,Basic Instinct 2,2006,6,33,Germany
143,Batman Forever,1995,42,42,USA
144,Belle de jour,1967,94,84,France
145,Beyond Rangoon,1995,36,64,UK
146,Blue in the Face,1995,45,73,USA
147,Canadian Bacon,1995,14,49,USA
148,Casper,1995,41,54,USA
149,Clockers,1995,67,74,USA
150,Congo,1995,21,34,USA
151,Crimson Tide,1995,86,77,USA
152,Crumb,1994,94,88,USA
153,Desperado,1995,60,79,USA
154,Devil in a Blue Dress,1995,88,64,USA
155,Die Hard: With a Vengeance,1995,47,83,USA
156,The Doom Generation,1995,48,64,USA
157,Feast of July,1995,66,40,USA
158,First Knight,1995,45,59,USA
159,Free Willy 2: The Adventure Home,1995,25,53,France
160,Hackers,1995,36,66,USA
161,Jeffrey,1995,60,68,USA
162,Johnny Mnemonic,1995,14,33,Canada
163,Judge Dredd,1995,14,35,USA
164,Jury Duty,1995,0,33,USA
165,Kids,1995,50,78,USA
166,Living in Oblivion,1995,87,85,USA
167,Lord of Illusions,1995,68,51,USA
168,Love & Human Remains,1993,63,0,Canada
169,Mad Love,1995,0,0,USA
170,Mallrats,1995,52,83,USA
171,Mighty Morphin Power Rangers: The Movie,1995,42,52,USA
172,Moonlight and Valentino,1995,15,51,UK
173,Mute Witness,1994,78,61,Germany
174,Nadja,1994,0,0,USA
175,The Net,1995,33,50,USA
176,Nine Months,1995,25,40,USA
177,Party Girl,1995,77,73,USA
178,The Prophecy,1995,42,71,USA
179,The Reckless Moment,1949,100,0,USA
180,Fail-Safe,1964,92,0,USA
181,The Scarlet Letter,1995,15,48,USA
182,Showgirls,1995,12,35,France
183,Smoke,1995,92,88,Germany
184,Something to Talk About,1995,37,55,USA
185,Species,1995,38,37,USA
